expression,reading,meaning,ChineseMeaning,tags
隔週,かくしゅう,every other week,隔週,JLPT_1 JLPT
確信,かくしん,"conviction, confidence",確信,JLPT_1 JLPT
革新,かくしん,"reform, innovation",革新,JLPT_1 JLPT
学説,がくせつ,theory,學說,JLPT_1 JLPT
確定,かくてい,"fixed, decision",確定,JLPT_1 JLPT
カクテル,カクテル,cocktail,雞尾酒,JLPT_1 JLPT
獲得,かくとく,"acquisition, possession",獲得,JLPT_1 JLPT
楽譜,がくふ,"score (music, sheet music)",樂譜,JLPT_1 JLPT
確保,かくほ,"guarantee, insure, secure",確保,JLPT_1 JLPT
革命,かくめい,revolution,革命,JLPT_1 JLPT
確立,かくりつ,establishment,確立,JLPT_1 JLPT
賭,かけ,"betting, gambling, a gamble",賭博,JLPT_1 JLPT
崖,がけ,cliff,懸崖,JLPT_1 JLPT
駆け足,かけあし,"running fast, double time",跑步,JLPT_1 JLPT
家計,かけい,"household economy, family finances",家計,JLPT_1 JLPT
駆けっこ,かけっこ,(foot) race,賽跑,JLPT_1 JLPT
加工,かこう,"manufacturing, processing, treatment",加工,JLPT_1 JLPT
化合,かごう,chemical combination,化合,JLPT_1 JLPT
かさばる,かさばる,to be bulky,佔體積,JLPT_1 JLPT
かさむ,かさむ,"to pile up, to increase",累積,JLPT_1 JLPT
箇条書,かじょうがき,"itemized form, itemization",條列,JLPT_1 JLPT
頭,かしら,"head, chief",頭,JLPT_1 JLPT
微か,かすか,"faint, dim, weak",微弱,JLPT_1 JLPT
霞む,かすむ,"to grow hazy, to be misty",朦朧,JLPT_1 JLPT
擦る,かする,"to rub, to chafe",摩擦,JLPT_1 JLPT
火星,かせい,Mars,火星,JLPT_1 JLPT
化石,かせき,"fossil, petrifaction, fossilization",化石,JLPT_1 JLPT
河川,かせん,rivers,河川,JLPT_1 JLPT
化繊,かせん,synthetic fibers,化纖,JLPT_1 JLPT
過疎,かそ,depopulation,人口過疏,JLPT_1 JLPT
片言,かたこと,"broken (in reference to speaking style, e.g., Japanese)",片言隻語,JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese
傾ける,かたむける,"to incline, to tilt, to bend",傾斜,JLPT_1 JLPT
固める,かためる,"to harden, to freeze, to fortify",加固,JLPT_1 JLPT
傍ら,かたわら,"beside(s, while, nearby",旁邊,JLPT_1 JLPT
花壇,かだん,flower bed,花壇,JLPT_1 JLPT
家畜,かちく,"domestic animals, livestock, cattle",家畜,JLPT_1 JLPT
且つ,かつ,"yet, and",而且,JLPT_1 JLPT
がっくり,がっくり,heartbroken,心碎,JLPT_1 JLPT
合唱,がっしょう,"chorus, singing in a chorus",合唱,JLPT_1 JLPT
がっしり,がっしり,"firmly, solidly, tough",結實,JLPT_1 JLPT
合致,がっち,"agreement, concurrence, conforming to",符合,JLPT_1 JLPT
がっちり,がっちり,"solidly built, tightly",緊密,JLPT_1 JLPT
かつて,かつて,"once, before, formerly",曾經,JLPT_1 JLPT
勝手,かって,"kitchen; one's way, selfishness",任意,JLPT_1 JLPT
カット,カット,"cut, cutting",剪切,JLPT_1 JLPT
活発,かっぱつ,"vigor, active",活潑,JLPT_1 JLPT
合併,がっぺい,"combination, amalgamation, merger",合併,JLPT_1 JLPT
カテゴリー,カテゴリー,category,類別,JLPT_1 JLPT
叶う,かなう,to come true,實現,JLPT_1 JLPT
叶える,かなえる,"to grant (request, wish)",實現,JLPT_1 JLPT
金槌,かなづち,(iron) hammer,鐵鎚,JLPT_1 JLPT
かなわない,かなわない,"be beyond one's power, be unable",無法勝任,JLPT_1 JLPT
加入,かにゅう,"becoming a member, admission",加入,JLPT_1 JLPT
予て,かねて,"previously, already, lately",事先,JLPT_1 JLPT
庇う,かばう,"to protect someone, to&nbsp;&nbsp;cover up for someone",庇護,JLPT_1 JLPT
株式,かぶしき,stock,股票,JLPT_1 JLPT
かぶれる,かぶれる,to react to; to be influenced by,過敏,JLPT_1 JLPT
花粉,かふん,pollen,花粉,JLPT_1 JLPT
貨幣,かへい,"money, currency, coinage",貨幣,JLPT_1 JLPT
構える,かまえる,to set up,準備,JLPT_1 JLPT
過密,かみつ,crowded,過密,JLPT_1 JLPT
噛み切る,かみきる,"to bite off, to gnaw through",咬斷,JLPT_1 JLPT
カムバック,カムバック,comeback,復歸,JLPT_1 JLPT
カメラマン,カメラマン,cameraman,攝影師,JLPT_1 JLPT
粥,かゆ,rice porridge,粥,JLPT_1 JLPT
体付き,からだつき,"body build, figure",體型,JLPT_1 JLPT
絡む,からむ,"to entangle, to entwine",糾纏,JLPT_1 JLPT
かりに,かりに,"temporarily; if, for argument's sake",假如,JLPT_1 JLPT
カルテ,カルテ,clinical records (GER: Karte),病歷,JLPT_1 JLPT
ガレージ,ガレージ,garage (at house),車庫,JLPT_1 JLPT
過労,かろう,"overwork, strain",過勞,JLPT_1 JLPT
かろうじて,かろうじて,"barely, narrowly",勉強,JLPT_1 JLPT
交す,かわす,to exchange,交換,JLPT_1 JLPT
代る代る,かわるがわる,alternately,輪流,JLPT_1 JLPT
簡易,かんい,"simplicity, easiness, quasi-",簡易,JLPT_1 JLPT
灌漑,かんがい,irrigation,灌溉,JLPT_1 JLPT
眼科,がんか,ophthalmology,眼科,JLPT_1 JLPT
眼球,がんきゅう,eyeball,眼球,JLPT_1 JLPT
玩具,がんぐ,toy,玩具,JLPT_1 JLPT
簡潔,かんけつ,"brevity, concise, simple",簡潔,JLPT_1 JLPT
還元,かんげん,"resolution, reduction, return",還原,JLPT_1 JLPT
看護,かんご,nursing,護理,JLPT_1 JLPT
漢語,かんご,"Chinese word, Sino-Japanese word",漢語,JLPT_1 JLPT
頑固,がんこ,"stubbornness, obstinacy",頑固,JLPT_1 JLPT
勧告,かんこく,"advice, counsel",勸告,JLPT_1 JLPT
換算,かんさん,"conversion, change, exchange",換算,JLPT_1 JLPT
監視,かんし,"observation, guarding, surveillance",監視,JLPT_1 JLPT
慣習,かんしゅう,usual (historical) custom,慣習,JLPT_1 JLPT
観衆,かんしゅう,"spectators, audience",觀眾,JLPT_1 JLPT
願書,がんしょ,application form,申請書,JLPT_1 JLPT
干渉,かんしょう,"interference, intervention",干涉,JLPT_1 JLPT
頑丈,がんじょう,"solid, firm, strong",堅固,JLPT_1 JLPT
感触,かんしょく,"sense of touch, feeling, sensation",觸感,JLPT_1 JLPT
肝心,かんじん,"essential, fundamental, crucial",要緊,JLPT_1 JLPT
肝腎,かんじん,"essential, fundamental, crucial",要緊,JLPT_1 JLPT
関税,かんぜい,"customs, duty, tariff",關稅,JLPT_1 JLPT
岩石,がんせき,rock,岩石,JLPT_1 JLPT
感染,かんせん,"infection, contagion",感染,JLPT_1 JLPT
幹線,かんせん,"main line, trunk line",幹線,JLPT_1 JLPT
簡素,かんそ,"simplicity, plain",簡樸,JLPT_1 JLPT
観点,かんてん,point of view,觀點,JLPT_1 JLPT
感度,かんど,"sensitivity, severity (quake)",敏感度,JLPT_1 JLPT
カンニング,カンニング,"cunning, cheat",作弊,JLPT_1 JLPT
元年,がんねん,first year (of a specific reign),元年,JLPT_1 JLPT
幹部,かんぶ,"management, executive",幹部,JLPT_1 JLPT
完ぺき,かんぺき,"perfection, completeness, flawless",完美,JLPT_1 JLPT
勘弁,かんべん,"pardon, forgiveness, forbearance",饒恕,JLPT_1 JLPT
感無量,かんむりょう,"deep feeling, filled with emotion",感慨萬千,JLPT_1 JLPT
勧誘,かんゆう,"invitation, canvassing, inducement",勸誘,JLPT_1 Intermediate_Japanese_Ln.5 JLPT Intermediate_Japanese
関与,かんよ,"participation, taking part in",參與,JLPT_1 JLPT
寛容,かんよう,"forbearance, tolerance, generosity, involvement",寬容,JLPT_1 JLPT
元来,がんらい,"originally, naturally",本來,JLPT_1 JLPT
観覧,かんらん,viewing,觀覽,JLPT_1 JLPT
慣例,かんれい,"custom, precedent, of convention",慣例,JLPT_1 JLPT
還暦,かんれき,60th birthday,還曆,JLPT_1 JLPT
貫禄,かんろく,"presence, dignity",威嚴,JLPT_1 JLPT
緩和,かんわ,"relief, mitigation",緩和,JLPT_1 JLPT
議案,ぎあん,legislative bill,議案,JLPT_1 JLPT
危害,きがい,"injury, harm, danger",危害,JLPT_1 JLPT
企画,きかく,"planning, project",企劃,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese
規格,きかく,"standard, norm",規格,JLPT_1 JLPT
着飾る,きかざる,to dress up,打扮,JLPT_1 JLPT
気兼ね,きがね,"hesitance, diffidence, feeling constraint",顧慮,JLPT_1 JLPT
気軽,きがる,"cheerful, buoyant, lighthearted",輕鬆,JLPT_1 JLPT
危機,きき,crisis,危機,JLPT_1 JLPT
聞き取り,ききとり,listening comprehension,聽力理解,JLPT_1 JLPT
効き目,ききめ,"effect, virtue, efficacy",效果,JLPT_1 JLPT
帰京,ききょう,returning to Tokyo,回京,JLPT_1 JLPT
戯曲,ぎきょく,"play, drama",戲劇,JLPT_1 JLPT
基金,ききん,"fund, foundation",基金,JLPT_1 JLPT
喜劇,きげき,"comedy, funny show",喜劇,JLPT_1 JLPT
議決,ぎけつ,"resolution, decision, vote",議決,JLPT_1 JLPT
棄権,きけん,"abstain from voting, renunciation of a right",棄權,JLPT_1 JLPT
既婚,きこん,married,已婚,JLPT_1 JLPT
気障,きざ,"affectation, conceit, snobbery",做作,JLPT_1 JLPT
記載,きさい,"mention, entry",記載,JLPT_1 JLPT
兆,きざし,"sign, omen, indication",徵兆,JLPT_1 JLPT
気質,きしつ,"character, trait, temperament",氣質,JLPT_1 JLPT
期日,きじつ,"fixed date, settlement date",期日,JLPT_1 JLPT
きしむ,きしむ,"to jar, to creak, to grate",嘎吱響,JLPT_1 JLPT
議事堂,ぎじどう,Diet building,議事堂,JLPT_1 JLPT
記述,きじゅつ,"describing, descriptor",記述,JLPT_1 JLPT
気象,きしょう,"weather, climate",氣象,JLPT_1 JLPT
傷付く,きずつく,"to be hurt, to be wounded, to get injured",受傷,JLPT_1 JLPT
傷付ける,きずつける,"to wound, to hurt someone's feelings",傷害,JLPT_1 JLPT
犠牲,ぎせい,sacrifice,犧牲,JLPT_1 JLPT
汽船,きせん,steamship,汽船,JLPT_1 JLPT
寄贈,きぞう,"donation, presentation",捐贈,JLPT_1 JLPT
偽造,ぎぞう,"forgery, fabrication, counterfeiting",偽造,JLPT_1 JLPT
貴族,きぞく,"noble, aristocrat",貴族,JLPT_1 JLPT
議題,ぎだい,"topic of discussion, agenda",議題,JLPT_1 JLPT
鍛える,きたえる,"to forge, to train, to discipline",鍛鍊,JLPT_1 JLPT
気立て,きだて,"good-natured, kind-hearted",性情,JLPT_1 JLPT
来る,きたる,"to come, to approach,",即將到來,JLPT_1 JLPT
きちっと,きちっと,"exactly, perfectly",恰好,JLPT_1 JLPT
几帳面,きちょうめん,"methodical, punctual, steady",一絲不苟,JLPT_1 JLPT
きっかり,きっかり,"exactly, precisely",正好,JLPT_1 JLPT
きっちり,きっちり,"precisely, tightly",緊密,JLPT_1 JLPT
きっぱり,きっぱり,"clearly, plainly, distinctly",斷然,JLPT_1 JLPT
規定,きてい,"regulation, provisions",規定,JLPT_1 JLPT
起点,きてん,starting point,起點,JLPT_1 JLPT
軌道,きどう,orbit; track,軌道,JLPT_1 JLPT
技能,ぎのう,"technical skill, ability, capacity",技能,JLPT_1 JLPT
規範,きはん,"model, standard, example",規範,JLPT_1 JLPT
気品,きひん,"grace, elegance",氣質,JLPT_1 JLPT
気風,きふう,"character, traits, ethos",氣風,JLPT_1 JLPT
起伏,きふく,undulation,起伏,JLPT_1 JLPT
規模,きぼ,"scale, scope, plan, structure",規模,JLPT_1 JLPT
気まぐれ,きまぐれ,"whim, caprice, uneven temper",任性,JLPT_1 JLPT
生真面目,きまじめ,"serious, sincerity",認真,JLPT_1 JLPT
期末,きまつ,(end of the season or term),期末,JLPT_1 JLPT
きまりわるい,きまりわるい,"feeling awkward, being ashamed",尷尬,JLPT_1 JLPT
記名,きめい,"signature, register",記名,JLPT_1 JLPT
規約,きやく,"agreement, rules, code",規約,JLPT_1 JLPT
脚色,きゃくしょく,"dramatization (e.g., film",改編,JLPT_1 JLPT
逆転,ぎゃくてん,"(sudden) change, reversal, turn-around",逆轉,JLPT_1 JLPT
脚本,きゃくほん,scenario,劇本,JLPT_1 JLPT
華奢,きゃしゃ,"delicate, slender",纖細,JLPT_1 JLPT
客観,きゃっかん,objective,客觀,JLPT_1 JLPT
キャッチ,キャッチ,catch,接住,JLPT_1 JLPT
キャリア,キャリア,"career, career government employee",職業生涯,JLPT_1 JLPT
救援,きゅうえん,"relief, rescue, reinforcement",救援,JLPT_1 JLPT
休学,きゅうがく,"temporary absence from school, suspension",休學,JLPT_1 JLPT
究極,きゅうきょく,"ultimate, final, eventual",究極,JLPT_1 JLPT
窮屈,きゅうくつ,"narrow, tight, formal",拘束,JLPT_1 JLPT
球根,きゅうこん,(plant) bulb,球根,JLPT_1 JLPT
救済,きゅうさい,"relief, aid, rescue",救濟,JLPT_1 JLPT
給仕,きゅうじ,waiter,服務生,JLPT_1 JLPT
給食,きゅうしょく,"school lunch, providing a meal",營養午餐,JLPT_1 JLPT
休戦,きゅうせん,"truce, armistice",停戰,JLPT_1 JLPT
宮殿,きゅうでん,palace,宮殿,JLPT_1 JLPT
旧知,きゅうち,"old friend, old friendship",舊識,JLPT_1 JLPT
窮乏,きゅうぼう,poverty,窮困,JLPT_1 JLPT
寄与,きよ,"contribution, service",貢獻,JLPT_1 JLPT
強,きょう,strong,強,JLPT_1 JLPT
驚異,きょうい,"wonder, miracle",驚異,JLPT_1 JLPT
教科,きょうか,"subject, curriculum",教科,JLPT_1 JLPT
協会,きょうかい,"association, society, organization",協會,JLPT_1 JLPT
共学,きょうがく,coeducation,男女同校,JLPT_1 JLPT
共感,きょうかん,"sympathy, response",共感,JLPT_1 JLPT
境遇,きょうぐう,"environment, circumstances",境遇,JLPT_1 JLPT
教訓,きょうくん,"lesson, precept, moral instruction",教訓,JLPT_1 JLPT
強行,きょうこう,"forcing, enforcement",強行,JLPT_1 JLPT
強硬,きょうこう,"firm, vigorous, stubborn",強硬,JLPT_1 JLPT
教材,きょうざい,teaching materials,教材,JLPT_1 JLPT
凶作,きょうさく,"bad harvest, poor crop",凶作,JLPT_1 JLPT
業者,ぎょうしゃ,"trader, merchant",業者,JLPT_1 JLPT
教習,きょうしゅう,"training, instruction",教習,JLPT_1 JLPT
郷愁,きょうしゅう,"nostalgia, homesickness",思鄉,JLPT_1 JLPT
教職,きょうしょく,teaching profession,教職,JLPT_1 JLPT
興じる,きょうじる,"to amuse oneself, to make merry",娛樂,JLPT_1 JLPT
強制,きょうせい,"obligation, compulsion, enforcement",強制,JLPT_1 JLPT
行政,ぎょうせい,administration,行政,JLPT_1 JLPT
業績,ぎょうせき,"achievement, work, contribution",業績,JLPT_1 JLPT
共存,きょうぞん,coexistence,共存,JLPT_1 JLPT
協定,きょうてい,"arrangement, pact, agreement",協定,JLPT_1 JLPT
郷土,きょうど,homeland,鄉土,JLPT_1 JLPT
脅迫,きょうはく,"threat, coercion",威脅,JLPT_1 JLPT
業務,ぎょうむ,"business, duties, work",業務,JLPT_1 JLPT
共鳴,きょうめい,"resonance, sympathy",共鳴,JLPT_1 JLPT
郷里,きょうり,"birth-place, home town",故鄉,JLPT_1 JLPT
強烈,きょうれつ,"strong, intense, severe",強烈,JLPT_1 JLPT
共和,きょうわ,"republicanism, cooperation",共和,JLPT_1 JLPT
局限,きょくげん,"limit, localize",局限,JLPT_1 JLPT
極端,きょくたん,"extreme, extremity",極端,JLPT_1 JLPT
居住,きょじゅう,residence,居住,JLPT_1 JLPT
拒絶,きょぜつ,"refusal, rejection",拒絕,JLPT_1 JLPT
漁船,ぎょせん,fishing boat,漁船,JLPT_1 JLPT
漁村,ぎょそん,fishing village,漁村,JLPT_1 JLPT
拒否,きょひ,"denial, rejection, refusal",拒否,JLPT_1 JLPT
許容,きょよう,"permission, pardon",許容,JLPT_1 JLPT
清らか,きよらか,"clean, pure, chaste",清潔,JLPT_1 JLPT
きらびやか,きらびやか,"gorgeous, gaudy, dazzling",華麗,JLPT_1 JLPT
義理,ぎり,"debt of gratitude, obligation",義理,JLPT_1 JLPT
切替,きりかえ,"exchange, conversion, switchover",切換,JLPT_1 JLPT
気流,きりゅう,atmospheric current,氣流,JLPT_1 JLPT
切れ目,きれめ,"break, pause, gap",切口,JLPT_1 JLPT
疑惑,ぎわく,"doubt, misgivings, suspicion",疑惑,JLPT_1 JLPT
極めて,きわめて,"exceedingly, extremely (written expression)",極其,JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese
近眼,きんがん,nearsightedness,近視,JLPT_1 JLPT
緊急,きんきゅう,"urgent, pressing, emergency",緊急,JLPT_1 JLPT
近郊,きんこう,"suburbs, outskirts",近郊,JLPT_1 JLPT
均衡,きんこう,"equilibrium, balance",均衡,JLPT_1 JLPT
禁じる,きんじる,to prohibit,禁止,JLPT_1 JLPT
勤勉,きんべん,"industry, diligence",勤勉,JLPT_1 JLPT
吟味,ぎんみ,"examination, careful investigation",吟味,JLPT_1 JLPT
勤務,きんむ,"service, duty, work",勤務,JLPT_1 JLPT
禁物,きんもつ,"taboo, forbidden thing",禁物,JLPT_1 JLPT
勤労,きんろう,"labor, exertion, diligent service",勤勞,JLPT_1 JLPT
クイズ,クイズ,quiz,測驗,JLPT_1 JLPT
食い違う,くいちがう,"to cross each other, to differ",不一致,JLPT_1 JLPT
空間,くうかん,"space, room, airspace",空間,JLPT_1 JLPT
空腹,くうふく,hunger,飢餓,JLPT_1 JLPT
区画,くかく,"division, section, area",區劃,JLPT_1 JLPT
区間,くかん,section,區間,JLPT_1 JLPT
茎,くき,stalk,莖,JLPT_1 JLPT
区切り,くぎり,"an end, a stop, punctuation",區隔,JLPT_1 JLPT
くぐる,くぐる,to pass through; to go around,穿過,JLPT_1 JLPT
くじびき,くじびき,"lottery, drawn lot",抽籤,JLPT_1 JLPT
くすぐったい,くすぐったい,ticklish,癢的,JLPT_1 JLPT
愚痴,ぐち,"idle complaint, grumble",抱怨,JLPT_1 JLPT
口吟む,くちずさむ,to humble,哼歌,JLPT_1 JLPT
嘴,くちばし,"beak, bill",鳥嘴,JLPT_1 JLPT
朽ちる,くちる,to rot,腐朽,JLPT_1 JLPT
覆す,くつがえす,"to overturn, to upset, to overthrow",推翻,JLPT_1 JLPT
くっきり,くっきり,"distinctly, clearly, boldly",清楚,JLPT_1 JLPT
屈折,くっせつ,"bending, indentation, refraction",折射,JLPT_1 JLPT
ぐっと,ぐっと,"firmly, fast, more",牢牢,JLPT_1 JLPT
首飾り,くびかざり,necklace,項鍊,JLPT_1 JLPT
首輪,くびわ,"necklace, choker",頸圈,JLPT_1 JLPT
組み込む,くみこむ,"to insert, to include, to cut in (printing)",組入,JLPT_1 JLPT
組み合わせる,くみあわせる,"to join together, to combine, to join up",組合,JLPT_1 JLPT
蔵,くら,"warehouse, cellar",倉庫,JLPT_1 JLPT
グレー,グレー,"grey, gray",灰色,JLPT_1 JLPT
クレーン,クレーン,crane,起重機,JLPT_1 JLPT
玄人,くろうと,"expert, professional",專家,JLPT_1 JLPT
黒字,くろじ,balance (figure) in the black,黑字,JLPT_1 JLPT
軍艦,ぐんかん,"warship, battleship",軍艦,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
軍事,ぐんじ,military affairs,軍事,JLPT_1 JLPT
君主,くんしゅ,"ruler, monarch",君主,JLPT_1 JLPT
群集,ぐんしゅう,"(social) group, crowd, mob",群集,JLPT_1 JLPT
群衆,ぐんしゅう,"(social) group, crowd, mob",群眾,JLPT_1 JLPT
軍備,ぐんび,"armaments, military preparations",軍備,JLPT_1 JLPT
軍服,ぐんぷく,military or naval uniform,軍服,JLPT_1 JLPT
芸,げい,"art, accomplishment, performance",藝術,JLPT_1 JLPT
経過,けいか,"passage, progress",經過,JLPT_1 JLPT
軽快,けいかい,"lively, casual, light",輕快,JLPT_1 JLPT
警戒,けいかい,"warning, admonition, vigilance",警戒,JLPT_1 JLPT
敬具,けいぐ,Sincerely (used at the end of letter),敬具,Intermediate_Japanese_Ln.4 JLPT_1 JLPT Intermediate_Japanese
軽減,けいげん,"reduction, lessening",減輕,JLPT_1 JLPT
掲載,けいさい,"appearance (e.g., article in paper)",刊載,JLPT_1 JLPT
傾斜,けいしゃ,"inclination, slope, dip",傾斜,JLPT_1 JLPT
形成,けいせい,formation,形成,JLPT_1 JLPT
形勢,けいせい,"condition, situation, prospects",形勢,JLPT_1 JLPT
軽率,けいそつ,"thoughtless, careless, hasty",輕率,JLPT_1 JLPT
刑罰,けいばつ,"judgment, penalty, punishment",刑罰,JLPT_1 JLPT
経費,けいひ,"expenses, cost, outlay",經費,JLPT_1 JLPT
警部,けいぶ,police inspector,警部,JLPT_1 JLPT
転換,てんかん,"convert, divert",轉換,JLPT_1 JLPT
転居,てんきょ,"moving, changing residence",遷居,JLPT_1 JLPT
転勤,てんきん,transfer (to another office of a company),調職,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese
点検,てんけん,"inspection, examination, checking",檢查,JLPT_1 JLPT
電源,でんげん,"source of electricity, power (e.g., button on TV)",電源,JLPT_1 JLPT
天国,てんごく,"paradise, heaven, Kingdom of Heaven",天國,JLPT_1 JLPT
天才,てんさい,a genius,天才,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
天災,てんさい,"natural calamity, disaster",天災,JLPT_1 JLPT
展示,てんじ,"exhibition, display",展示,JLPT_1 JLPT
伝説,でんせつ,"tradition, legend, folklore",傳說,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
点線,てんせん,dotted line,虛線,JLPT_1 JLPT
転じる,てんじる,"to turn, to shift",轉變,JLPT_1 JLPT
転ずる,てんずる,"to turn, to shift",轉變,JLPT_1 JLPT
天体,てんたい,heavenly body,天體,JLPT_1 JLPT
伝達,でんたつ,"transmission (e.g., news, communication, delivery)",傳達,JLPT_1 JLPT
天地,てんち,"heaven and earth, the universe",天地,JLPT_1 JLPT
てんで,てんで,"(not) at all, altogether, entirely",完全不,JLPT_1 JLPT
転任,てんにん,change of post,調任,JLPT_1 JLPT
展望,てんぼう,"view, outlook, prospect",展望,JLPT_1 JLPT
伝来,でんらい,"ancestral, hereditary, imported",傳來,JLPT_1 JLPT
転落,てんらく,"fall, degradation",墜落,JLPT_1 JLPT
問い合わせる,といあわせる,"to inquire, to seek information",詢問,JLPT_1 JLPT
胴,どう,"trunk, body, frame",身軀,JLPT_1 JLPT
同意,どうい,"agreement, consent; same meaning",同意,JLPT_1 JLPT
動員,どういん,mobilization,動員,JLPT_1 JLPT
同感,どうかん,"agreement, same opinion, same feeling",同感,JLPT_1 JLPT
陶器,とうき,"pottery, ceramics",陶器,JLPT_1 JLPT
討議,とうぎ,"debate, discussion",討議,JLPT_1 JLPT
動機,どうき,"motive, incentive",動機,JLPT_1 JLPT
等級,とうきゅう,"grade, class",等級,JLPT_1 JLPT
同級,どうきゅう,"the same grade, same class",同級,JLPT_1 JLPT
同居,どうきょ,living together,同居,JLPT_1 JLPT
登校,とうこう,attendance (at school),上學,JLPT_1 JLPT
統合,とうごう,"integration, unification, synthesis",統合,JLPT_1 JLPT
動向,どうこう,"trend, tendency, movement, attitude",動向,JLPT_1 JLPT
投資,とうし,investment,投資,JLPT_1 JLPT
同情,どうじょう,"sympathy, compassion, sympathize",同情,JLPT_1 JLPT
道場,どうじょう,"(arch) dojo, hall used for martial arts training, mandala",道場,JLPT_1 JLPT
統制,とうせい,"regulation, control",統制,JLPT_1 JLPT
当選,とうせん,"being elected, winning the prize",當選,JLPT_1 JLPT
逃走,とうそう,"flight, desertion, escape",逃走,JLPT_1 JLPT
統率,とうそつ,"command, generalship, leadership",統率,JLPT_1 JLPT
到達,とうたつ,"reaching, attaining, arrival",到達,JLPT_1 JLPT
統治,とうち,"rule, reign, governing",統治,JLPT_1 JLPT
仕切る,しきる,"to partition, to divide, to mark off",分隔,JLPT_1 JLPT
資金,しきん,"funds, capital",資金,JLPT_1 JLPT
軸,じく,"axis, stem, shaft",軸,JLPT_1 JLPT
しくじる,しくじる,"to fail, to fall through, to blunder",失敗,JLPT_1 JLPT
仕組,しくみ,"structure, mechanism",結構,JLPT_1 JLPT
死刑,しけい,death penalty,死刑,JLPT_1 JLPT
湿気る,しける,"to be damp, to be moist",潮濕,JLPT_1 JLPT
施行,しこう,"enforcement, operation",施行,JLPT_1 JLPT
思考,しこう,thought,思考,JLPT_1 JLPT
志向,しこう,"intention, aim",志向,JLPT_1 JLPT
嗜好,しこう,"taste, liking, preference",嗜好,JLPT_1 JLPT
事項,じこう,"matter(s), item(s), facts",事項,JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
時刻表,じこくひょう,"timetable, (train) schedule",時刻表,JLPT_1 JLPT Intermediate_Japanese_Ln.10 Intermediate_Japanese
地獄,じごく,hell,地獄,JLPT_1 JLPT
時差,じさ,time difference,時差,JLPT_1 JLPT
自在,じざい,"freely, at will",自在,JLPT_1 JLPT
視察,しさつ,"inspection, observation",視察,JLPT_1 JLPT
資産,しさん,"property, fortune, assets",資產,JLPT_1 JLPT
支持,しじ,support,支持,JLPT_1 JLPT
自主,じしゅ,"independence, autonomy",自主,JLPT_1 JLPT
自首,じしゅ,"surrender, give oneself up",自首,JLPT_1 JLPT
刺繍,ししゅう,embroidery,刺繡,JLPT_1 JLPT
市場,しじょう,(the) market (as a concept),市場,JLPT_1 JLPT
辞職,じしょく,resignation,辭職,JLPT_1 JLPT
雫,しずく,drop (of water),水滴,JLPT_1 JLPT
システム,システム,system,系統,JLPT_1 JLPT
沈める,しずめる,"to sink, to submerge",沉沒,JLPT_1 JLPT
施設,しせつ,"establishment, facility",設施,JLPT_1 JLPT
事前,じぜん,"prior, beforehand, in advance",事前,JLPT_1 JLPT
子息,しそく,(hon.) son,兒子,JLPT_1 JLPT
持続,じぞく,"continuation, endurance",持續,JLPT_1 JLPT
自尊心,じそんしん,"self-respect, conceit",自尊心,JLPT_1 JLPT
慕う,したう,to yearn to adore,仰慕,JLPT_1 JLPT
下心,したごころ,"secret intention, motive",別有用心,JLPT_1 JLPT
下地,したじ,"groundwork, foundation",基礎,JLPT_1 JLPT
親しむ,したしむ,"to be intimate with, to befriend",親近,JLPT_1 JLPT
下調べ,したしらべ,preliminary investigation,事前調查,JLPT_1 JLPT
愛想,あいそう,sociability,親切,JLPT JLPT_1
間柄,あいだがら,relationship,關係,JLPT JLPT_1
合間,あいま,interval,間隙,JLPT JLPT_1
敢えて,あえて,"dare (to do), venture (to do), challenge (to do)",敢於,JLPT JLPT_1
仰ぐ,あおぐ,"to look up (to), to respect; to ask for",仰望,JLPT JLPT_1
垢,あか,"dirt, filth",污垢,JLPT JLPT_1
赤字,あかじ,"deficit, go in the red",赤字,JLPT JLPT_1
明かす,あかす,to reveal; to stay up,透露,JLPT JLPT_1
赤らむ,あからむ,"to become red, to blush",變紅,JLPT JLPT_1
上がり,あがり,"ascent; income; completion, stop",上升,JLPT JLPT_1
諦め,あきらめ,"resignation, reconciliation, consolation",放棄,JLPT JLPT_1
アクセル,アクセル,(abbr.) accelerator,油門,JLPT JLPT_1
あくどい,あくどい,gaudy vicious,惡劣,JLPT JLPT_1
顎,あご,chin,下巴,JLPT JLPT_1
憧れ,あこがれ,"yearning, longing, aspiration",憧憬,Intermediate_Japanese Intermediate_Japanese_Ln.8 JLPT JLPT_1
麻,あさ,hemp,麻,JLPT JLPT_1
あざ,あざ,"birthmark, bruise",痣,JLPT JLPT_1
浅ましい,あさましい,"shameful, mean, despicable",可恥,JLPT JLPT_1
